valid_time,wind_speed,t2m_c,sshf,net_radiation,e,number,expver
1987-10-01 06:00:00,3.9371858,25.608559,-1.3613514e+06,5.5467996e+07,-0.00395039,0,0001
1987-11-01 00:00:00,3.9416132,25.345564,-1.2638061e+06,5.491123e+07,-0.0039025294,0,0001
1987-11-01 06:00:00,3.9428792,25.341316,-1.2630131e+06,5.4906704e+07,-0.0039021403,0,0001
1987-12-01 00:00:00,4.093521,24.835827,-1.342149e+06,5.4345104e+07,-0.003949546,0,0001
1987-12-01 06:00:00,4.0935802,24.836977,-1.342814e+06,5.4340384e+07,-0.003949944,0,0001
1988-01-01 00:00:00,4.1008434,24.978424,-1.478152e+06,5.4634948e+07,-0.003998076,0,0001
1988-01-01 06:00:00,4.0924916,24.985247,-1.4792522e+06,5.4637344e+07,-0.0039984672,0,0001
1988-02-01 00:00:00,3.0652056,25.824478,-1.5435729e+06,5.652855e+07,-0.0036616088,0,0001
1988-02-01 06:00:00,3.0663624,25.831858,-1.5440958e+06,5.654393e+07,-0.00365887,0,0001
1988-03-01 00:00:00,3.1993928,26.680426,-1.741676e+06,5.683745e+07,-0.0037937649,0,0001
1988-03-01 06:00:00,3.2001934,26.684923,-1.7433941e+06,5.684e+07,-0.0037949379,0,0001
1988-04-01 00:00:00,3.2986681,27.238031,-1.8015886e+06,5.681548e+07,-0.0036581575,0,0001
1988-04-01 06:00:00,3.314487,27.237843,-1.8020618e+06,5.681528e+07,-0.0036570455,0,0001
1988-05-01 00:00:00,5.1969213,27.215458,-1.7913996e+06,5.4641652e+07,-0.00460372,0,0001
1988-05-01 06:00:00,5.2018156,27.210009,-1.79131e+06,5.4623388e+07,-0.004611675,0,0001
1988-06-01 00:00:00,5.8038335,26.539785,-1.5008905e+06,5.3029956e+07,-0.0045409007,0,0001
1988-06-01 06:00:00,5.8097486,26.534147,-1.4985294e+06,5.3017e+07,-0.004540325,0,0001
1988-07-01 00:00:00,6.513648,25.863123,-1.3703118e+06,5.204216e+07,-0.0048640464,0,0001
